id,name,category,manufacturer,batchNumber,price,quantity,expiryDate,minStockLevel
MED-101,Paracetamol 500mg,Analgesic / Antipyretic,GSK Pharma,B101,12.50,150,2027-11-17,20
MED-102,Azithromycin 500mg,Antibiotics,Pfizer Inc.,AZ-442,95.00,60,2028-03-17,15
MED-103,Cetirizine 10mg,Antihistamine,Cipla Labs,CT-890,25.00,120,2027-08-17,25
MED-104,Ibuprofen 400mg,NSAID / Pain Relief,Abbott Healthcare,IB-312,18.00,80,2028-01-17,20
MED-105,Amoxicillin 500mg,Antibiotics,Novartis,AM-771,65.00,45,2027-06-17,15
MED-106,Pantoprazole 40mg,Antacid / Gastro,Sun Pharma,PN-204,42.00,90,2027-12-17,20
MED-107,Vitamin D3 60k IU,Supplements / Vitamins,Mankind Pharma,VD-553,110.00,50,2028-05-17,10
MED-108,ORS Electrolyte Powder,Rehydration,FDC Ltd.,ORS-99,22.00,140,2028-09-17,30
MED-109,Paracetamol 500mg,Analgesic / Antipyretic,GSK Pharma,B098,12.00,35,2026-10-05,20
MED-110,Cough Relief Syrup 100ml,Respiratory / Syrup,Dabur India,CR-102,75.00,40,2027-07-17,15
MED-111,Antacid Mint Gel 200ml,Antacid / Digestive,Reckitt Benckiser,AG-004,85.00,4,2027-09-17,15
MED-112,Insulin Glargine 100IU,Diabetes,Sanofi Aventis,IN-700,680.00,3,2027-05-17,10
MED-113,Atorvastatin 20mg,Cardiovascular,Dr. Reddy's,AT-601,145.00,6,2027-10-17,15
MED-114,Eye Drops Lubricant 10ml,Ophthalmology,Allergan,ED-221,130.00,18,2026-09-29,10
MED-115,Metformin 500mg,Diabetes,Torrent Pharma,MF-332,32.00,25,2026-10-09,15
MED-116,Multivitamin Daily Zinc,Vitamins,Bayer Corp.,MV-119,90.00,12,2026-09-02,10
DUP-01,Med One,General,Lab,B1,10.00,5,2026-11-17,2
FEFO-01,TestFefoDrug,Pain,Lab,Batch-Far,20.00,30,2027-09-17,5
FEFO-02,TestFefoDrug,Pain,Lab,Batch-Soon,20.00,15,2026-11-17,5
BILL-TEST-99,Checkout Test Med,General,TestMfg,B-CHECK,25.00,40,2027-05-17,10
EXP-TEST-01,Dangerous Expired Med,General,Mfg,B-EXP,10.00,10,2026-09-07,2
LOW-TEST-01,Only Three In Stock,General,Mfg,B-LOW,10.00,3,2027-02-17,1
